time,select
2021-12-22 08:00:00+08:00,BTC
2021-12-23 08:00:00+08:00,BTC
2021-12-24 08:00:00+08:00,BTC
2021-12-25 08:00:00+08:00,ETH
2021-12-26 08:00:00+08:00,BTC
2021-12-27 08:00:00+08:00,BTC
2021-12-28 08:00:00+08:00,ETH
2021-12-29 08:00:00+08:00,BTC
2021-12-30 08:00:00+08:00,ETH
2021-12-31 08:00:00+08:00,ETH
2022-01-01 08:00:00+08:00,BTC
2022-01-02 08:00:00+08:00,ETH
2022-01-03 08:00:00+08:00,ETH
2022-01-04 08:00:00+08:00,ETH
2022-01-05 08:00:00+08:00,BTC
2022-01-06 08:00:00+08:00,BTC
2022-01-07 08:00:00+08:00,BTC
2022-01-08 08:00:00+08:00,BTC
2022-01-09 08:00:00+08:00,ETH
2022-01-10 08:00:00+08:00,BTC
2022-01-11 08:00:00+08:00,ETH
2022-01-12 08:00:00+08:00,ETH
2022-01-13 08:00:00+08:00,BTC
2022-01-14 08:00:00+08:00,ETH
2022-01-15 08:00:00+08:00,ETH
2022-01-16 08:00:00+08:00,ETH
2022-01-17 08:00:00+08:00,BTC
2022-01-18 08:00:00+08:00,BTC
2022-01-19 08:00:00+08:00,BTC
2022-01-20 08:00:00+08:00,BTC
2022-01-21 08:00:00+08:00,BTC
2022-01-22 08:00:00+08:00,BTC
2022-01-23 08:00:00+08:00,ETH
2022-01-24 08:00:00+08:00,BTC
2022-01-25 08:00:00+08:00,BTC
2022-01-26 08:00:00+08:00,ETH
2022-01-27 08:00:00+08:00,BTC
2022-01-28 08:00:00+08:00,ETH
2022-01-29 08:00:00+08:00,ETH
2022-01-30 08:00:00+08:00,ETH
2022-01-31 08:00:00+08:00,ETH
2022-02-01 08:00:00+08:00,ETH
2022-02-02 08:00:00+08:00,ETH
2022-02-03 08:00:00+08:00,BTC
2022-02-04 08:00:00+08:00,BTC
2022-02-05 08:00:00+08:00,ETH
2022-02-06 08:00:00+08:00,BTC
2022-02-07 08:00:00+08:00,BTC
2022-02-08 08:00:00+08:00,BTC
2022-02-09 08:00:00+08:00,ETH
2022-02-10 08:00:00+08:00,BTC
2022-02-11 08:00:00+08:00,BTC
2022-02-12 08:00:00+08:00,ETH
2022-02-13 08:00:00+08:00,BTC
2022-02-14 08:00:00+08:00,ETH
2022-02-15 08:00:00+08:00,ETH
2022-02-16 08:00:00+08:00,BTC
2022-02-17 08:00:00+08:00,ETH
2022-02-18 08:00:00+08:00,BTC
2022-02-19 08:00:00+08:00,BTC
2022-02-20 08:00:00+08:00,BTC
2022-02-21 08:00:00+08:00,ETH
2022-02-22 08:00:00+08:00,BTC
2022-02-23 08:00:00+08:00,ETH
2022-02-24 08:00:00+08:00,BTC
2022-02-25 08:00:00+08:00,ETH
2022-02-26 08:00:00+08:00,ETH
2022-02-27 08:00:00+08:00,BTC
2022-02-28 08:00:00+08:00,BTC
2022-03-01 08:00:00+08:00,BTC
2022-03-02 08:00:00+08:00,ETH
2022-03-03 08:00:00+08:00,BTC
2022-03-04 08:00:00+08:00,ETH
2022-03-05 08:00:00+08:00,ETH
2022-03-06 08:00:00+08:00,BTC
2022-03-07 08:00:00+08:00,BTC
2022-03-08 08:00:00+08:00,ETH
2022-03-09 08:00:00+08:00,BTC
2022-03-10 08:00:00+08:00,ETH
2022-03-11 08:00:00+08:00,BTC
2022-03-12 08:00:00+08:00,ETH
2022-03-13 08:00:00+08:00,ETH
2022-03-14 08:00:00+08:00,BTC
2022-03-15 08:00:00+08:00,ETH
2022-03-16 08:00:00+08:00,ETH
2022-03-17 08:00:00+08:00,ETH
2022-03-18 08:00:00+08:00,ETH
2022-03-19 08:00:00+08:00,BTC
2022-03-20 08:00:00+08:00,BTC
2022-03-21 08:00:00+08:00,ETH
2022-03-22 08:00:00+08:00,BTC
2022-03-23 08:00:00+08:00,ETH
2022-03-24 08:00:00+08:00,BTC
2022-03-25 08:00:00+08:00,BTC
2022-03-26 08:00:00+08:00,ETH
2022-03-27 08:00:00+08:00,BTC
2022-03-28 08:00:00+08:00,ETH
2022-03-29 08:00:00+08:00,ETH
2022-03-30 08:00:00+08:00,ETH
2022-03-31 08:00:00+08:00,ETH
2022-04-01 08:00:00+08:00,ETH
2022-04-02 08:00:00+08:00,ETH
2022-04-03 08:00:00+08:00,ETH
2022-04-04 08:00:00+08:00,BTC
2022-04-05 08:00:00+08:00,BTC
2022-04-06 08:00:00+08:00,BTC
2022-04-07 08:00:00+08:00,ETH
2022-04-08 08:00:00+08:00,ETH
2022-04-09 08:00:00+08:00,ETH
2022-04-10 08:00:00+08:00,BTC
2022-04-11 08:00:00+08:00,BTC
2022-04-12 08:00:00+08:00,ETH
2022-04-13 08:00:00+08:00,ETH
2022-04-14 08:00:00+08:00,BTC
2022-04-15 08:00:00+08:00,BTC
2022-04-16 08:00:00+08:00,ETH
2022-04-17 08:00:00+08:00,BTC
2022-04-18 08:00:00+08:00,BTC
2022-04-19 08:00:00+08:00,BTC
2022-04-20 08:00:00+08:00,BTC
2022-04-21 08:00:00+08:00,BTC
2022-04-22 08:00:00+08:00,ETH
2022-04-23 08:00:00+08:00,BTC
2022-04-24 08:00:00+08:00,BTC
2022-04-25 08:00:00+08:00,ETH
2022-04-26 08:00:00+08:00,BTC
2022-04-27 08:00:00+08:00,BTC
2022-04-28 08:00:00+08:00,ETH
2022-04-29 08:00:00+08:00,BTC
2022-04-30 08:00:00+08:00,BTC
2022-05-01 08:00:00+08:00,ETH
2022-05-02 08:00:00+08:00,ETH
2022-05-03 08:00:00+08:00,BTC
2022-05-04 08:00:00+08:00,ETH
2022-05-05 08:00:00+08:00,ETH
2022-05-06 08:00:00+08:00,BTC
2022-05-07 08:00:00+08:00,BTC
2022-05-08 08:00:00+08:00,BTC
2022-05-09 08:00:00+08:00,ETH
2022-05-10 08:00:00+08:00,ETH
2022-05-11 08:00:00+08:00,BTC
2022-05-12 08:00:00+08:00,BTC
2022-05-13 08:00:00+08:00,ETH
2022-05-14 08:00:00+08:00,BTC
2022-05-15 08:00:00+08:00,ETH
2022-05-16 08:00:00+08:00,BTC
2022-05-17 08:00:00+08:00,ETH
2022-05-18 08:00:00+08:00,BTC
2022-05-19 08:00:00+08:00,BTC
2022-05-20 08:00:00+08:00,ETH
2022-05-21 08:00:00+08:00,BTC
2022-05-22 08:00:00+08:00,ETH
2022-05-23 08:00:00+08:00,ETH
2022-05-24 08:00:00+08:00,BTC
2022-05-25 08:00:00+08:00,BTC
2022-05-26 08:00:00+08:00,BTC
2022-05-27 08:00:00+08:00,BTC
2022-05-28 08:00:00+08:00,ETH
2022-05-29 08:00:00+08:00,BTC
2022-05-30 08:00:00+08:00,ETH
2022-05-31 08:00:00+08:00,BTC
2022-06-01 08:00:00+08:00,BTC
2022-06-02 08:00:00+08:00,BTC
2022-06-03 08:00:00+08:00,BTC
2022-06-04 08:00:00+08:00,ETH
2022-06-05 08:00:00+08:00,BTC
2022-06-06 08:00:00+08:00,BTC
2022-06-07 08:00:00+08:00,BTC
2022-06-08 08:00:00+08:00,ETH
2022-06-09 08:00:00+08:00,ETH
2022-06-10 08:00:00+08:00,BTC
2022-06-11 08:00:00+08:00,BTC
2022-06-12 08:00:00+08:00,ETH
2022-06-13 08:00:00+08:00,BTC
2022-06-14 08:00:00+08:00,ETH
2022-06-15 08:00:00+08:00,ETH
2022-06-16 08:00:00+08:00,BTC
2022-06-17 08:00:00+08:00,ETH
2022-06-18 08:00:00+08:00,BTC
2022-06-19 08:00:00+08:00,ETH
2022-06-20 08:00:00+08:00,BTC
2022-06-21 08:00:00+08:00,BTC
2022-06-22 08:00:00+08:00,BTC
